配对编号,同题材标签,组别,导演姓名,影片片名,上映年份,女性主角/女性中心角色,明确年龄或年龄段,来源链接,女主角身份设定,故事结局类型,结局细分标签,故事结局流向概述
6,都市底层女性/身体与权力,女导演作品,李玉,苹果,2007,刘苹果,20多岁,https://movie.douban.com/subject_search?search_text=%E8%8B%B9%E6%9E%9C,洗脚城服务员/进城务工女性,陷于困境,开放式/陷于困境,刘苹果离开权力交易现场，但金钱、孩子与婚姻关系没有被真正解决，结局保持暧昧。
6,都市底层女性/身体与权力,男导演对照,娄烨,苏州河,2000,牡丹/美美,少女至青年，约16-20岁,https://movie.douban.com/subject_search?search_text=%E8%8B%8F%E5%B7%9E%E6%B2%B3,牡丹/美美，都市边缘女性,死亡,死亡/迷失,牡丹与马达的爱情以死亡和传闻化收束，美美则留在都市迷雾和讲述者视角中。
7,青年漂泊/城市边缘,女导演作品,李玉,观音山,2010,南风,20岁左右,https://movie.douban.com/subject_search?search_text=%E8%A7%82%E9%9F%B3%E5%B1%B1,漂泊青年/酒吧驻唱者,开放式/继续前行,开放式/继续前行,南风等青年经历关系破碎和死亡阴影后继续上路，影片没有给出稳定归宿。
7,青年漂泊/城市边缘,男导演对照,贾樟柯,世界,2004,赵小桃,20多岁,https://movie.douban.com/subject_search?search_text=%E4%B8%96%E7%95%8C,主题公园舞蹈演员/北漂打工女性,死亡,开放式/死亡阴影,赵小桃与男友在煤气中毒式结尾里处于生死暧昧状态，台词把结局推向开放和困境。
8,跨境少女/身份流动,女导演作品,白雪,过春天,2018,佩佩,16岁,https://movie.douban.com/subject_search?search_text=%E8%BF%87%E6%98%A5%E5%A4%A9,深港跨境学生/水客,自我实现,自我实现/开放式,佩佩摆脱走私链条和依附关系，结局将她放回跨境生活的开放未来。
8,跨境少女/身份流动,男导演对照,易智言,蓝色大门,2002,孟克柔,高中生，约17岁,https://movie.douban.com/subject_search?search_text=%E8%93%9D%E8%89%B2%E5%A4%A7%E9%97%A8,高中女生/性向探索者,自我实现,自我认同/开放式,孟克柔没有被异性恋爱情收编，结尾以自我确认和青春开放性收束。
9,少女视角/罪案阴影,女导演作品,王一淳,黑处有什么,2015,曲靖,13岁,https://movie.douban.com/subject_search?search_text=%E9%BB%91%E5%A4%84%E6%9C%89%E4%BB%80%E4%B9%88,13岁初中女生/少女观察者,开放式/继续前行,开放式/创伤延续,曲靖接近罪案真相却无法真正消除恐惧，结局保留成长中的阴影。
9,少女视角/罪案阴影,男导演对照,曾国祥,少年的你,2019,陈念,高三学生，约18岁,https://movie.douban.com/subject_search?search_text=%E5%B0%91%E5%B9%B4%E7%9A%84%E4%BD%A0,高三学生/校园暴力受害者,开放式/继续前行,开放式/继续前行,陈念获得继续生活和工作的可能，小北承担法律后果，两人的关系以多年后的守护式开放结尾呈现。
10,校园霸凌/青春创伤,女导演作品,落落,悲伤逆流成河,2018,易遥,高中生，约16-18岁,https://movie.douban.com/subject_search?search_text=%E6%82%B2%E4%BC%A4%E9%80%86%E6%B5%81%E6%88%90%E6%B2%B3,高中女生/校园霸凌受害者,死亡,死亡,易遥在长期霸凌和误解后投河，结局将女主命运推向死亡悲剧。
10,校园霸凌/青春创伤,男导演对照,九把刀,报告老师！怪怪怪怪物！,2017,校园女学生群像,高中生，约16-18岁,https://movie.douban.com/subject_search?search_text=%E6%8A%A5%E5%91%8A%E8%80%81%E5%B8%88%EF%BC%81%E6%80%AA%E6%80%AA%E6%80%AA%E6%80%AA%E7%89%A9%EF%BC%81,校园女学生/青春暴力叙事中的女性角色,死亡,陷于困境/死亡,影片以校园暴力和怪物复仇的毁灭性后果收束，女性角色并无自我实现式出路。
11,高三/升学压力,女导演作品,姚婷婷,谁的青春不迷茫,2016,林天娇,高三学生，约18岁,https://movie.douban.com/subject_search?search_text=%E8%B0%81%E7%9A%84%E9%9D%92%E6%98%A5%E4%B8%8D%E8%BF%B7%E8%8C%AB,高三优等生/学生,自我实现,自我实现,林天娇从升学模板中松动，开始按自身意愿理解青春和未来。
11,高三/升学压力,男导演对照,钟孟宏,第四张画,2010,小翔母亲/女性照护者,成年女性，约30-40岁,https://movie.douban.com/subject_search?search_text=%E7%AC%AC%E5%9B%9B%E5%BC%A0%E7%94%BB,母亲/继父家庭中的女性照护者,陷于困境,开放式/困境延续,女性照护者未获得清晰主体性结局，影片更多以儿童视角留下家庭创伤和社会困境。
12,时间奇幻爱情,女导演作品,姚婷婷,我在时间尽头等你,2020,邱倩,高中至青年阶段，约18-20多岁,https://movie.douban.com/subject_search?search_text=%E6%88%91%E5%9C%A8%E6%97%B6%E9%97%B4%E5%B0%BD%E5%A4%B4%E7%AD%89%E4%BD%A0,舞蹈学生/青年女性,死亡,死亡/爱情失去,邱倩的人生被林格多次改写，爱情以时间代价和牺牲收束，结局偏向失去后的延续。
12,时间奇幻爱情,男导演对照,苏伦/男导演对照改用,超时空同居,2018,谷小焦,约30岁,https://movie.douban.com/subject_search?search_text=%E8%B6%85%E6%97%B6%E7%A9%BA%E5%90%8C%E5%B1%85,都市女性/房产相关从业者,获得爱情,获得爱情,谷小焦与陆鸣通过时空错位改变命运，结局确认爱情与现实重组。
13,女性青春回忆,女导演作品,陈玉珊,我的少女时代,2015,林真心,高中生，约17岁；成年后约30多岁,https://movie.douban.com/subject_search?search_text=%E6%88%91%E7%9A%84%E5%B0%91%E5%A5%B3%E6%97%B6%E4%BB%A3,高中女生/成年职场女性,获得爱情,获得爱情/自我成长,林真心成年后重逢徐太宇，结局满足青春爱情愿望，也回收她的自我成长。
13,女性青春回忆,男导演对照,陈正道,盛夏光年,2006,慧嘉,高中至青年阶段，约17-20岁,https://movie.douban.com/subject_search?search_text=%E7%9B%9B%E5%A4%8F%E5%85%89%E5%B9%B4,高中至青年阶段的女性朋友/三角关系成员,分离/告别,开放式/青春分离,慧嘉处于三人关系的情感张力中，影片没有给出稳定配对或家庭式归宿。
14,兄妹/青春家庭,女导演作品,郑芬芬,快把我哥带走,2018,时秒,高中生，约16-17岁,https://movie.douban.com/subject_search?search_text=%E5%BF%AB%E6%8A%8A%E6%88%91%E5%93%A5%E5%B8%A6%E8%B5%B0,高中女生/妹妹,回归家庭/家庭修复,家庭修复,时秒理解哥哥在破碎家庭中的保护，结局回到兄妹亲情的修复。
14,兄妹/青春家庭,男导演对照,韩延,送你一朵小红花,2020,马小远,青年癌症患者，约20岁左右,https://movie.douban.com/subject_search?search_text=%E9%80%81%E4%BD%A0%E4%B8%80%E6%9C%B5%E5%B0%8F%E7%BA%A2%E8%8A%B1,青年癌症患者,死亡,死亡/告别,马小远最终病逝，结局以想象和纪念保存她对韦一航的影响。
15,听障/青春爱情,女导演作品,郑芬芬,听说,2009,秧秧/小朋,青年阶段，约20多岁,https://movie.douban.com/subject_search?search_text=%E5%90%AC%E8%AF%B4,青年女性/外送与听障运动员家庭角色,获得爱情,获得爱情/家庭支持,秧秧与天阔的关系成立，姐妹关系也得到理解，结局偏向温暖团圆。
15,听障/青春爱情,男导演对照,陈哲艺,热带雨,2019,阿玲,中年女性，约40岁,https://movie.douban.com/subject_search?search_text=%E7%83%AD%E5%B8%A6%E9%9B%A8,中年语文教师/妻子,自我实现,开放式/自我觉醒,阿玲结束越界关系并离开既有婚姻困局，结尾不是圆满爱情，而是重新面对自身处境。
16,女性同性/纹身记忆,女导演作品,周美玲,刺青,2007,小绿/竹子,青年女性，约18-20多岁,https://movie.douban.com/subject_search?search_text=%E5%88%BA%E9%9D%92,网络视频女郎/刺青师,获得爱情,获得爱情/开放式,小绿与竹子的创伤记忆被重新连接，情感关系有确认但未来保持开放。
16,女性同性/纹身记忆,男导演对照,陈正道,盛夏光年,2006,慧嘉,高中至青年阶段，约17-20岁,https://movie.douban.com/subject_search?search_text=%E7%9B%9B%E5%A4%8F%E5%85%89%E5%B9%B4,高中至青年阶段的女性朋友/三角关系成员,分离/告别,开放式/青春分离,慧嘉处于三人关系的情感张力中，影片没有给出稳定配对或家庭式归宿。
17,29-30岁女性焦虑,女导演作品,彭秀慧,29+1,2017,林若君/黄天乐,29-30岁,https://movie.douban.com/subject_search?search_text=29%2B1,29岁都市职业女性/癌症女性对照,自我实现,自我实现,林若君通过黄天乐的生命经验重新理解年龄焦虑，结局转向自我选择与生活重启。
17,29-30岁女性焦虑,男导演对照,韩延,滚蛋吧！肿瘤君,2015,熊顿,29岁,https://movie.douban.com/subject_search?search_text=%E6%BB%9A%E8%9B%8B%E5%90%A7%EF%BC%81%E8%82%BF%E7%98%A4%E5%90%9B,29岁漫画师/癌症患者,死亡,死亡/精神延续,熊顿病逝，但影片以乐观想象和创作遗产强调她的生命能量延续。
18,婚恋/未婚女性,女导演作品,黄绮琳,金都,2019,莉芳,约30岁,https://movie.douban.com/subject_search?search_text=%E9%87%91%E9%83%BD,婚嫁店员工/未婚女性,自我实现,自我实现/开放式,莉芳没有进入预设婚姻，结局偏向拒绝被婚恋制度安排后的自我选择。
18,婚恋/未婚女性,男导演对照,彭浩翔,志明与春娇,2010,余春娇,约30岁,https://movie.douban.com/subject_search?search_text=%E5%BF%97%E6%98%8E%E4%B8%8E%E6%98%A5%E5%A8%87,广告公司职员/都市女性,获得爱情,获得爱情,余春娇与张志明从暧昧走向关系确认，结局落在都市爱情成立。
19,职业女性/创作成长,女导演作品,黄绮琳,填词L,2023,罗颖诗,17岁至30岁左右,https://movie.douban.com/subject_search?search_text=%E5%A1%AB%E8%AF%8DL,填词人/创作者,自我实现,自我实现,罗颖诗经历长期挫败后仍坚持创作，结局强调职业理想的继续而非爱情归宿。
19,职业女性/创作成长,男导演对照,陈可辛,中国合伙人,2013,苏梅,青年至成年阶段,https://movie.douban.com/subject_search?search_text=%E4%B8%AD%E5%9B%BD%E5%90%88%E4%BC%99%E4%BA%BA,苏梅/留学与情感叙事中的女性,旁线/非女性主线,分离/旁线退场,苏梅作为男性创业叙事中的情感和时代参照，最终不构成女主自我实现主线。
20,青年合租/都市女性,女导演作品,黄真真,六楼后座,2003,都市青年女性群像,20多岁,https://movie.douban.com/subject_search?search_text=%E5%85%AD%E6%A5%BC%E5%90%8E%E5%BA%A7,合租青年女性群像,开放式/继续前行,开放式/青春继续,青年群体经历友情和爱情波动后继续各自生活，结局保留都市青春的流动性。
20,青年合租/都市女性,男导演对照,陈骏霖,一页台北,2010,Susie,20多岁,https://movie.douban.com/subject_search?search_text=%E4%B8%80%E9%A1%B5%E5%8F%B0%E5%8C%97,便利店女孩/都市青年女性,获得爱情,获得爱情/开放式,Susie与男主的关系在轻喜剧结构中获得推进，结局留下继续发展的开放可能。
21,女性友谊,女导演作品,黄真真,闺蜜,2014,希汶/小美/Kimmy,20多岁至30岁左右,https://movie.douban.com/subject_search?search_text=%E9%97%BA%E8%9C%9C,都市女性闺蜜群像,关系修复,友谊修复,三位女性经历爱情和生活危机后重新确认友情，结局核心是女性友谊修复。
21,女性友谊,男导演对照,曾国祥,七月与安生,2016,七月/安生,13岁相识至约27岁,https://movie.douban.com/subject_search?search_text=%E4%B8%83%E6%9C%88%E4%B8%8E%E5%AE%89%E7%94%9F,七月/安生，女性友谊双主角,死亡,死亡/女性关系延续,七月死亡，安生继续生活并照看下一代，结局将友谊转化为记忆和身份延续。
22,前任/都市爱情,女导演作品,麦曦茵,前度,2010,周怡,20多岁,https://movie.douban.com/subject_search?search_text=%E5%89%8D%E5%BA%A6,都市青年女性/前任关系中心角色,自我实现,分离/自我前行,周怡在前任关系反复后没有回到稳定爱情，结局指向告别旧关系。
22,前任/都市爱情,男导演对照,彭浩翔,春娇救志明,2017,余春娇,30多岁,https://movie.douban.com/subject_search?search_text=%E6%98%A5%E5%A8%87%E6%95%91%E5%BF%97%E6%98%8E,30多岁都市女性/恋人,获得爱情,获得爱情/关系修复,春娇与志明经历危机后关系修复，结局回到爱情承诺。
23,跨地姐妹/家族和解,女导演作品,麦曦茵,花椒之味,2019,夏如树等三姐妹,成年女性，约20-40岁,https://movie.douban.com/subject_search?search_text=%E8%8A%B1%E6%A4%92%E4%B9%8B%E5%91%B3,跨地姐妹群像/餐饮与家庭关系角色,回归家庭/家庭修复,家庭修复,三姐妹因父亲留下的火锅店相认相处，结局落在跨地域姐妹关系和家族记忆的修复。
23,跨地姐妹/家族和解,男导演对照,钟孟宏,瀑布,2021,罗品文/小静,母亲约40多岁；女儿高中阶段,https://movie.douban.com/subject_search?search_text=%E7%80%91%E5%B8%83,中年母亲/高中女儿,回归家庭/家庭修复,家庭修复/继续前行,罗品文和小静穿过精神危机与疫情压力，母女关系在风险后重新建立支撑。
24,三代女性/亲情,女导演作品,张艾嘉,相爱相亲,2017,岳慧英/薇薇/外婆,20多岁、50岁左右、老年,https://movie.douban.com/subject_search?search_text=%E7%9B%B8%E7%88%B1%E7%9B%B8%E4%BA%B2,三代女性/教师、女儿、外婆,回归家庭/家庭修复,家庭修复/和解,三代女性围绕迁坟和婚姻记忆产生冲突，最终走向理解与和解。
24,三代女性/亲情,男导演对照,杨德昌,一一,2000,婷婷,约8-10岁,https://movie.douban.com/subject_search?search_text=%E4%B8%80%E4%B8%80,儿童女孩/家庭成员,开放式/继续前行,开放式/成长观察,婷婷在家庭事件后继续成长，影片以家庭整体生命流动收束，不给单一女主归宿。
25,女性记忆/海岛青春,女导演作品,张艾嘉,念念,2015,育美,青年女性，约20多岁,https://movie.douban.com/subject_search?search_text=%E5%BF%B5%E5%BF%B5,青年画家/创伤记忆中的女儿,自我实现,自我和解/开放式,育美面对母亲记忆和亲密关系裂痕，结局偏向与过去和解后的继续生活。
25,女性记忆/海岛青春,男导演对照,侯孝贤,千禧曼波,2001,Vicky,20多岁,https://movie.douban.com/subject_search?search_text=%E5%8D%83%E7%A6%A7%E6%9B%BC%E6%B3%A2,夜店/都市漂泊女性,开放式/继续前行,开放式/继续漂泊,Vicky离开消耗性关系但没有稳定归宿，旁白式回望使结局保持漂泊感。
26,北漂/爱情成长,女导演作品,刘若英,后来的我们,2018,方小晓,20多岁至30多岁,https://movie.douban.com/subject_search?search_text=%E5%90%8E%E6%9D%A5%E7%9A%84%E6%88%91%E4%BB%AC,北漂青年女性/服务业与都市漂泊者,自我实现,分离/自我前行,方小晓与林见清成年后重逢但不复合，结局承认错过并各自继续生活。
26,北漂/爱情成长,男导演对照,张一白,从你的全世界路过,2016,幺鸡/小容等,20多岁至30岁左右,https://movie.douban.com/subject_search?search_text=%E4%BB%8E%E4%BD%A0%E7%9A%84%E5%85%A8%E4%B8%96%E7%95%8C%E8%B7%AF%E8%BF%87,都市爱情群像中的女性角色,分离/告别,开放式/爱情分离,女性角色处在多线爱情的错过、追寻和告别中，结局不是单一圆满归宿。
27,少女成长/家庭暴力,女导演作品,舒淇,女孩,2025,少女主角,少女阶段，约13-17岁,https://movie.douban.com/subject_search?search_text=%E5%A5%B3%E5%AD%A9,少女/家暴家庭中的女儿,开放式/继续前行,开放式/创伤后继续,林小丽没有获得大团圆式家庭和解，结局以留白处理童年创伤和继续长大的可能。
27,少女成长/家庭暴力,男导演对照,曹保平,狗十三,2013,李玩,13岁,https://movie.douban.com/subject_search?search_text=%E7%8B%97%E5%8D%81%E4%B8%89,初中女生/被家庭规训的女儿,陷于困境,陷于困境,李玩在成人秩序中学会沉默与迎合，结尾吃狗肉象征个人意志被家庭规训压低。
28,中老年母女,女导演作品,杨荔钠,妈妈！,2022,女儿/母亲,女儿约65岁；母亲约85岁,https://movie.douban.com/subject_search?search_text=%E5%A6%88%E5%A6%88%EF%BC%81,退休知识女性母女/照护关系,死亡,死亡/亲情告别,母女在疾病与照护中互相支撑，结尾以生命终点和亲情告别收束。
28,中老年母女,男导演对照,钟孟宏,瀑布,2021,罗品文,中年母亲，约40多岁,https://movie.douban.com/subject_search?search_text=%E7%80%91%E5%B8%83,中年母亲/高中女儿,回归家庭/家庭修复,家庭修复/继续前行,罗品文和小静穿过精神危机与疫情压力，母女关系在风险后重新建立支撑。
29,母女/女性家庭创伤,女导演作品,杨荔钠,春潮,2019,郭建波/纪明岚,成年女儿约30多岁；母亲老年,https://movie.douban.com/subject_search?search_text=%E6%98%A5%E6%BD%AE,记者女儿/母亲/女儿三代关系,回归家庭/家庭修复,开放式/家庭创伤延续,郭建波与母亲的冲突没有被简单和解，结局保留三代女性创伤继续流动的状态。
29,母女/女性家庭创伤,男导演对照,王小帅,左右,2008,枚竹,成年母亲，约30多岁,https://movie.douban.com/subject_search?search_text=%E5%B7%A6%E5%8F%B3,成年母亲/再婚家庭中的母亲,回归家庭/家庭修复,家庭责任/开放式,枚竹为救女儿卷入伦理困境，结局不是爱情归宿，而是母职责任带来的持续压力。
30,女性身体/疾病与自我,女导演作品,滕丛丛,送我上青云,2019,盛男,30多岁,https://movie.douban.com/subject_search?search_text=%E9%80%81%E6%88%91%E4%B8%8A%E9%9D%92%E4%BA%91,记者/撰稿人/癌症患者,自我实现,自我实现/开放式,盛男没有被疾病或爱情完全定义，结局转向对身体欲望、尊严和自我表达的确认。
30,女性身体/疾病与自我,男导演对照,韩延,滚蛋吧！肿瘤君,2015,熊顿,29岁,https://movie.douban.com/subject_search?search_text=%E6%BB%9A%E8%9B%8B%E5%90%A7%EF%BC%81%E8%82%BF%E7%98%A4%E5%90%9B,29岁漫画师/癌症患者,死亡,死亡/精神延续,熊顿病逝，但影片以乐观想象和创作遗产强调她的生命能量延续。
31,家庭暴力/婚姻困境,女导演作品,秦海燕,我经过风暴,2023,徐敏,成年女性，约30多岁,https://movie.douban.com/subject_search?search_text=%E6%88%91%E7%BB%8F%E8%BF%87%E9%A3%8E%E6%9A%B4,妻子/母亲/家暴受害者,自我实现,自我实现/脱离困境,徐敏通过法律和行动脱离家暴婚姻，结局强调女性从暴力关系中出走。
31,家庭暴力/婚姻困境,男导演对照,吕乐,找到你,2018,李捷/孙芳,成年女性，约30多岁,https://movie.douban.com/subject_search?search_text=%E6%89%BE%E5%88%B0%E4%BD%A0,律师母亲/保姆母亲双女性,回归家庭/家庭修复,陷于困境/母职悲剧,李捷和孙芳都被母职、阶层和法律困境挤压，结局带有悲剧性追责与反思。
32,现代文学女性传记,女导演作品,许鞍华,黄金时代,2014,萧红,18-31岁,https://movie.douban.com/subject_search?search_text=%E9%BB%84%E9%87%91%E6%97%B6%E4%BB%A3,作家萧红,死亡,死亡/文学自我实现,萧红在战乱和漂泊中完成文学表达，结局以其早逝和作品留存收束。
32,现代文学女性传记,男导演对照,关锦鹏,阮玲玉,1991,阮玲玉,16-24岁,https://movie.douban.com/subject_search?search_text=%E9%98%AE%E7%8E%B2%E7%8E%89,电影演员阮玲玉,死亡,死亡,阮玲玉在舆论和情感压力下自杀，结局是明确的女性明星悲剧。
33,张爱玲/少女进入上流社会,女导演作品,许鞍华,第一炉香,2021,葛薇龙,少女/青年，约17-20岁,https://movie.douban.com/subject_search?search_text=%E7%AC%AC%E4%B8%80%E7%82%89%E9%A6%99,女学生/上流社交圈新入者,陷于困境,陷于困境/婚姻收编,葛薇龙明知被利用仍进入姑母和乔琪乔的欲望结构，结局不是爱情胜利而是被上流社会吞没。
33,张爱玲/少女进入上流社会,男导演对照,李安,色，戒,2007,王佳芝,大学生至青年，约20-22岁,https://movie.douban.com/subject_search?search_text=%E8%89%B2%EF%BC%8C%E6%88%92,大学生/潜伏刺杀者,死亡,死亡,王佳芝因情感动摇放走易先生，随后与同伴被处决，结局为明确死亡。
34,照护/老年女性,女导演作品,许鞍华,桃姐,2011,桃姐,老年女性，约70岁以上,https://movie.douban.com/subject_search?search_text=%E6%A1%83%E5%A7%90,老年女佣/照护者,死亡,死亡/亲情告别,桃姐在养老院度过生命末期并去世，Roger以亲人般方式送别。
34,照护/老年女性,男导演对照,张杨,飞越老人院,2012,老年女性群像,老年阶段，约60岁以上,https://movie.douban.com/subject_search?search_text=%E9%A3%9E%E8%B6%8A%E8%80%81%E4%BA%BA%E9%99%A2,老人院女性群像,自我实现,自我实现/晚年出走,老人们完成外出表演和自我证明，女性老人角色共享晚年主体性释放。
35,社区母亲/日常生活,女导演作品,许鞍华,天水围的日与夜,2008,贵姐,中年女性，约40多岁,https://movie.douban.com/subject_search?search_text=%E5%A4%A9%E6%B0%B4%E5%9B%B4%E7%9A%84%E6%97%A5%E4%B8%8E%E5%A4%9C,超市员工/中年母亲,开放式/继续前行,开放式/日常延续,贵姐与儿子、邻里关系在平淡日常中继续，结局不是戏剧性逆转而是生活延续。
35,社区母亲/日常生活,男导演对照,钟孟宏,阳光普照,2019,琴姐,中年母亲，约40-50岁,https://movie.douban.com/subject_search?search_text=%E9%98%B3%E5%85%89%E6%99%AE%E7%85%A7,中年母亲/家庭照护者,回归家庭/家庭修复,家庭创伤后继续,琴姐在家庭悲剧后仍维持生活，结局偏向创伤后的继续而非圆满修复。
36,婚姻与性/成年女性,女导演作品,曾翠珊,非分熟女,2018,小敏,成年女性，约30多岁,https://movie.douban.com/subject_search?search_text=%E9%9D%9E%E5%88%86%E7%86%9F%E5%A5%B3,成年妻子/性与婚姻困境中的女性,自我实现,自我实现/身体觉醒,小敏从无性婚姻和压抑中觉醒，结局强调身体主体性和自我选择。
36,婚姻与性/成年女性,男导演对照,蔡明亮,天边一朵云,2005,湘琪,成年女性，约20多岁,https://movie.douban.com/subject_search?search_text=%E5%A4%A9%E8%BE%B9%E4%B8%80%E6%9C%B5%E4%BA%91,成年女性/都市孤独者,陷于困境,陷于困境/疏离,湘琪与小康的关系被色情工业和都市荒诞吞没，结局极端疏离且无修复。
37,流行音乐/女性职业,女导演作品,黄绮琳,填词L,2023,罗颖诗,17岁至30岁左右,https://movie.douban.com/subject_search?search_text=%E5%A1%AB%E8%AF%8DL,填词人/创作者,自我实现,自我实现,罗颖诗经历长期挫败后仍坚持创作，结局强调职业理想的继续而非爱情归宿。
37,流行音乐/女性职业,男导演对照,陈可辛,如果·爱,2005,孙纳,成年女演员，约20-30岁,https://movie.douban.com/subject_search?search_text=%E5%A6%82%E6%9E%9C%C2%B7%E7%88%B1,女演员/明星,分离/告别,分离/事业继续,孙纳面对旧爱和事业选择，最终没有回到纯粹爱情，结局偏向情感告别与事业延续。
38,跨文化/华裔女性,女导演作品,王子逸,别告诉她,2019,Billi,约30岁,https://movie.douban.com/subject_search?search_text=%E5%88%AB%E5%91%8A%E8%AF%89%E5%A5%B9,华裔青年女性/创作者,回归家庭/家庭修复,家庭修复/开放式,Billi接受家族隐瞒病情的文化逻辑，结局以奶奶仍然生活的字幕反转留下温情开放性。
38,跨文化/华裔女性,男导演对照,李安,喜宴,1993,威威,成年女性，约20多岁,https://movie.douban.com/subject_search?search_text=%E5%96%9C%E5%AE%B4,女性协议结婚者/移民女性,回归家庭/家庭修复,家庭妥协/开放式,威威怀孕并与高伟同、赛门形成非传统家庭安排，结局是妥协式共存。
39,华裔女性身份/同性,女导演作品,伍思薇,面子,2004,Wil,28岁,https://movie.douban.com/subject_search?search_text=%E9%9D%A2%E5%AD%90,华裔外科医生/女同性恋者,获得爱情,获得爱情/自我认同,Wil公开走向Vivian，母亲也突破社区压力，结局确认亲密关系和身份表达。
39,华裔女性身份/同性,男导演对照,关锦鹏,蓝宇,2001,女性角色为配角,成年女性,https://movie.douban.com/subject_search?search_text=%E8%93%9D%E5%AE%87,女性角色为配角/异性婚姻旁线,旁线/非女性主线,旁线退场/男性爱情悲剧,女性角色主要作为男性同性关系中的社会婚姻压力存在，结局核心落在蓝宇死亡。
40,高中女性/自我表达,女导演作品,伍思薇,真心半解,2020,Ellie Chu,高中生，约17岁,https://movie.douban.com/subject_search?search_text=%E7%9C%9F%E5%BF%83%E5%8D%8A%E8%A7%A3,高中女生/代写者/华裔少女,自我实现,自我认同/开放式,Ellie没有获得传统爱情配对，而是离开小镇继续寻找自我表达和未来。
