序号,导演姓名,性别,活跃地区,代表作品,上映年份,作品类型,故事发生时代,故事发生地区,第一主演性别,番位分类,番位判定依据,资料来源/判断依据,来源链接,选择理由
11,张艺谋,男,大陆,狙击手,2022,战争/历史,1952年冬/抗美援朝时期,朝鲜战场,男性,第一番位为男性,公开主演表/剧情简介补判为男性第一主角,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E7%8B%99%E5%87%BB%E6%89%8B%20%E5%BC%A0%E8%89%BA%E8%B0%8B,https://movie.douban.com/subject_search?search_text=%E7%8B%99%E5%87%BB%E6%89%8B%20%E5%BC%A0%E8%89%BA%E8%B0%8B,抗美援朝战争片代表
12,张艺谋,男,大陆,满江红,2023,悬疑/喜剧/古装,南宋绍兴年间/岳飞遇害后,临安/秦桧府邸,男性,第一番位为男性,公开主演表/剧情简介补判为男性第一主角,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E6%BB%A1%E6%B1%9F%E7%BA%A2%20%E5%BC%A0%E8%89%BA%E8%B0%8B,https://movie.douban.com/subject_search?search_text=%E6%BB%A1%E6%B1%9F%E7%BA%A2%20%E5%BC%A0%E8%89%BA%E8%B0%8B,高票房古装悬疑商业片代表
13,张艺谋,男,大陆,第二十条,2024,剧情/喜剧/法治题材,当代,中国城市/检察与司法空间,男性,第一番位为男性,公开主演表/剧情简介补判为男性第一主角,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E7%AC%AC%E4%BA%8C%E5%8D%81%E6%9D%A1%20%E5%BC%A0%E8%89%BA%E8%B0%8B,https://movie.douban.com/subject_search?search_text=%E7%AC%AC%E4%BA%8C%E5%8D%81%E6%9D%A1%20%E5%BC%A0%E8%89%BA%E8%B0%8B,现实法治题材代表
14,张艺谋,男,大陆,惊蛰无声,2026,悬疑/剧情,2026年新片/故事时代未明,片中地区公开资料未明,男性,第一番位为男性,公开主演表/剧情简介补判为男性第一主角,Wikidata/公开片单、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E6%83%8A%E8%9B%B0%E6%97%A0%E5%A3%B0%20%E5%BC%A0%E8%89%BA%E8%B0%8B,https://movie.douban.com/subject_search?search_text=%E6%83%8A%E8%9B%B0%E6%97%A0%E5%A3%B0%20%E5%BC%A0%E8%89%BA%E8%B0%8B,2026年新片样本，补足时间段覆盖
15,陈凯歌,男,大陆,和你在一起,2002,剧情/音乐,当代,北京,男性,第一番位为男性,公开主演表/剧情简介补判为男性第一主角,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E5%92%8C%E4%BD%A0%E5%9C%A8%E4%B8%80%E8%B5%B7%20%E9%99%88%E5%87%AF%E6%AD%8C,https://movie.douban.com/subject_search?search_text=%E5%92%8C%E4%BD%A0%E5%9C%A8%E4%B8%80%E8%B5%B7%20%E9%99%88%E5%87%AF%E6%AD%8C,现实亲情与音乐题材代表
16,陈凯歌,男,大陆,无极,2005,奇幻/动作/剧情,架空神话/奇幻时代,无极世界/虚构王国,男性,第一番位为男性,公开主演表/剧情简介补判为男性第一主角,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E6%97%A0%E6%9E%81%20%E9%99%88%E5%87%AF%E6%AD%8C,https://movie.douban.com/subject_search?search_text=%E6%97%A0%E6%9E%81%20%E9%99%88%E5%87%AF%E6%AD%8C,新世纪奇幻大片代表
17,陈凯歌,男,大陆,梅兰芳,2008,传记/历史/剧情,20世纪初至40年代,北京、上海等京剧活动空间,男性,第一番位为男性,公开主演表/剧情简介补判为男性第一主角,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E6%A2%85%E5%85%B0%E8%8A%B3%20%E9%99%88%E5%87%AF%E6%AD%8C,https://movie.douban.com/subject_search?search_text=%E6%A2%85%E5%85%B0%E8%8A%B3%20%E9%99%88%E5%87%AF%E6%AD%8C,人物传记片代表
18,陈凯歌,男,大陆,搜索,2012,剧情/社会议题,当代,中国都市/网络舆论与医院空间,女性,第一番位为女性,公开主演表/剧情简介补判为女性第一主角,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E6%90%9C%E7%B4%A2%20%E9%99%88%E5%87%AF%E6%AD%8C,https://movie.douban.com/subject_search?search_text=%E6%90%9C%E7%B4%A2%20%E9%99%88%E5%87%AF%E6%AD%8C,网络舆论现实题材代表
19,陈凯歌,男,大陆,道士下山,2015,奇幻/动作/喜剧,民国初年/江湖寓言,中国山寺与江湖城市空间,男性,第一番位为男性,公开主演表/剧情简介补判为男性第一主角,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E9%81%93%E5%A3%AB%E4%B8%8B%E5%B1%B1%20%E9%99%88%E5%87%AF%E6%AD%8C,https://movie.douban.com/subject_search?search_text=%E9%81%93%E5%A3%AB%E4%B8%8B%E5%B1%B1%20%E9%99%88%E5%87%AF%E6%AD%8C,武侠奇幻商业片代表
20,陈凯歌,男,大陆,妖猫传,2017,奇幻/悬疑/古装,唐代天宝年间,长安,男性,第一番位为男性,公开主演表/剧情简介补判为男性第一主角,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E5%A6%96%E7%8C%AB%E4%BC%A0%20%E9%99%88%E5%87%AF%E6%AD%8C,https://movie.douban.com/subject_search?search_text=%E5%A6%96%E7%8C%AB%E4%BC%A0%20%E9%99%88%E5%87%AF%E6%AD%8C,唐代奇幻美术工业代表
21,陈凯歌,男,大陆,我和我的祖国,2019,剧情/历史/拼盘片,1949-2015多个历史节点,中国多地,不适用,双主角/群像,剧情简介显示为双主角、多线叙事、系列群像或拼盘结构,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E6%88%91%E5%92%8C%E6%88%91%E7%9A%84%E7%A5%96%E5%9B%BD%20%E9%99%88%E5%87%AF%E6%AD%8C,https://movie.douban.com/subject_search?search_text=%E6%88%91%E5%92%8C%E6%88%91%E7%9A%84%E7%A5%96%E5%9B%BD%20%E9%99%88%E5%87%AF%E6%AD%8C,国庆献礼拼盘电影代表
22,陈凯歌,男,大陆,长津湖,2021,战争/历史/剧情,1950年/抗美援朝时期,朝鲜长津湖地区,不适用,双主角/群像,剧情简介显示为双主角、多线叙事、系列群像或拼盘结构,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E9%95%BF%E6%B4%A5%E6%B9%96%20%E9%99%88%E5%87%AF%E6%AD%8C,https://movie.douban.com/subject_search?search_text=%E9%95%BF%E6%B4%A5%E6%B9%96%20%E9%99%88%E5%87%AF%E6%AD%8C,新主流战争大片代表
23,陈凯歌,男,大陆,志愿军：雄兵出击,2023,战争/历史,1950-1951年/抗美援朝初期,中国东北、朝鲜战场,不适用,双主角/群像,剧情简介显示为双主角、多线叙事、系列群像或拼盘结构,公开剧情简介、原表来源链接；原表来源：http://www.wikidata.org/entity/Q121725484,http://www.wikidata.org/entity/Q121725484,战争系列大片代表
24,冯小刚,男,大陆,大腕,2001,喜剧/讽刺,当代,北京,不适用,双主角/群像,剧情简介显示为双主角、多线叙事、系列群像或拼盘结构,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E5%A4%A7%E8%85%95%20%E5%86%AF%E5%B0%8F%E5%88%9A,https://movie.douban.com/subject_search?search_text=%E5%A4%A7%E8%85%95%20%E5%86%AF%E5%B0%8F%E5%88%9A,贺岁喜剧与商业喜剧代表
25,冯小刚,男,大陆,手机,2003,剧情/喜剧,当代,北京,男性,第一番位为男性,公开主演表/剧情简介补判为男性第一主角,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E6%89%8B%E6%9C%BA%20%E5%86%AF%E5%B0%8F%E5%88%9A,https://movie.douban.com/subject_search?search_text=%E6%89%8B%E6%9C%BA%20%E5%86%AF%E5%B0%8F%E5%88%9A,都市伦理与媒介题材代表
26,冯小刚,男,大陆,天下无贼,2004,剧情/犯罪/动作,当代,中国内地列车与旅途空间,不适用,双主角/群像,剧情简介显示为双主角、多线叙事、系列群像或拼盘结构,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E5%A4%A9%E4%B8%8B%E6%97%A0%E8%B4%BC%20%E5%86%AF%E5%B0%8F%E5%88%9A,https://movie.douban.com/subject_search?search_text=%E5%A4%A9%E4%B8%8B%E6%97%A0%E8%B4%BC%20%E5%86%AF%E5%B0%8F%E5%88%9A,商业类型片代表
27,冯小刚,男,大陆,夜宴,2006,古装/剧情/动作,架空古代/王朝宫廷,古代王国宫廷,男性,第一番位为男性,公开主演表/剧情简介补判为男性第一主角,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E5%A4%9C%E5%AE%B4%20%E5%86%AF%E5%B0%8F%E5%88%9A,https://movie.douban.com/subject_search?search_text=%E5%A4%9C%E5%AE%B4%20%E5%86%AF%E5%B0%8F%E5%88%9A,古装商业片代表
28,冯小刚,男,大陆,集结号,2007,战争/剧情/历史,1948年前后/解放战争时期,华东战场/中国北方战地,男性,第一番位为男性,公开主演表/剧情简介补判为男性第一主角,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E9%9B%86%E7%BB%93%E5%8F%B7%20%E5%86%AF%E5%B0%8F%E5%88%9A,https://movie.douban.com/subject_search?search_text=%E9%9B%86%E7%BB%93%E5%8F%B7%20%E5%86%AF%E5%B0%8F%E5%88%9A,战争记忆题材代表
29,冯小刚,男,大陆,非诚勿扰,2008,爱情/喜剧,当代,北京、杭州、北海道等,男性,第一番位为男性,公开主演表/剧情简介补判为男性第一主角,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E9%9D%9E%E8%AF%9A%E5%8B%BF%E6%89%B0%20%E5%86%AF%E5%B0%8F%E5%88%9A,https://movie.douban.com/subject_search?search_text=%E9%9D%9E%E8%AF%9A%E5%8B%BF%E6%89%B0%20%E5%86%AF%E5%B0%8F%E5%88%9A,都市爱情喜剧代表
30,冯小刚,男,大陆,唐山大地震,2010,灾难/剧情/家庭,1976年唐山地震至2008年前后,河北唐山及后续城市生活空间,不适用,双主角/群像,剧情简介显示为双主角、多线叙事、系列群像或拼盘结构,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E5%94%90%E5%B1%B1%E5%A4%A7%E5%9C%B0%E9%9C%87%20%E5%86%AF%E5%B0%8F%E5%88%9A,https://movie.douban.com/subject_search?search_text=%E5%94%90%E5%B1%B1%E5%A4%A7%E5%9C%B0%E9%9C%87%20%E5%86%AF%E5%B0%8F%E5%88%9A,灾难与家庭伦理大片代表
31,冯小刚,男,大陆,一九四二,2012,历史/灾难/剧情,1942年河南大饥荒时期,河南、陕西等逃荒路线,不适用,双主角/群像,剧情简介显示为双主角、多线叙事、系列群像或拼盘结构,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E4%B8%80%E4%B9%9D%E5%9B%9B%E4%BA%8C%20%E5%86%AF%E5%B0%8F%E5%88%9A,https://movie.douban.com/subject_search?search_text=%E4%B8%80%E4%B9%9D%E5%9B%9B%E4%BA%8C%20%E5%86%AF%E5%B0%8F%E5%88%9A,历史灾难题材代表
32,冯小刚,男,大陆,我不是潘金莲,2016,剧情/讽刺/黑色喜剧,当代,中国县城、北京上访空间,女性,第一番位为女性,公开主演表/剧情简介补判为女性第一主角,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E6%88%91%E4%B8%8D%E6%98%AF%E6%BD%98%E9%87%91%E8%8E%B2%20%E5%86%AF%E5%B0%8F%E5%88%9A,https://movie.douban.com/subject_search?search_text=%E6%88%91%E4%B8%8D%E6%98%AF%E6%BD%98%E9%87%91%E8%8E%B2%20%E5%86%AF%E5%B0%8F%E5%88%9A,现实讽刺电影代表
33,冯小刚,男,大陆,芳华,2017,剧情/历史/青春,20世纪70-80年代,西南部队文工团/中国内地,男性,第一番位为男性,公开主演表/剧情简介补判为男性第一主角,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E8%8A%B3%E5%8D%8E%20%E5%86%AF%E5%B0%8F%E5%88%9A,https://movie.douban.com/subject_search?search_text=%E8%8A%B3%E5%8D%8E%20%E5%86%AF%E5%B0%8F%E5%88%9A,年代青春与集体记忆代表
34,姜文,男,大陆,鬼子来了,2000,剧情/战争/黑色喜剧,1945年前后/抗战末期,华北乡村,男性,第一番位为男性,公开主演表/剧情简介补判为男性第一主角,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E9%AC%BC%E5%AD%90%E6%9D%A5%E4%BA%86%20%E5%A7%9C%E6%96%87,https://movie.douban.com/subject_search?search_text=%E9%AC%BC%E5%AD%90%E6%9D%A5%E4%BA%86%20%E5%A7%9C%E6%96%87,作者电影与战争寓言代表
35,姜文,男,大陆,太阳照常升起,2007,剧情/奇幻,多时段/现实与梦境交错,中国南方与西部乡村空间,男性,第一番位为男性,公开主演表/剧情简介补判为男性第一主角,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E5%A4%AA%E9%98%B3%E7%85%A7%E5%B8%B8%E5%8D%87%E8%B5%B7%20%E5%A7%9C%E6%96%87,https://movie.douban.com/subject_search?search_text=%E5%A4%AA%E9%98%B3%E7%85%A7%E5%B8%B8%E5%8D%87%E8%B5%B7%20%E5%A7%9C%E6%96%87,作者表达与诗性叙事代表
36,姜文,男,大陆,让子弹飞,2010,剧情/喜剧/动作,北洋军阀时期/民国寓言,鹅城等虚构西南城镇,不适用,双主角/群像,剧情简介显示为双主角、多线叙事、系列群像或拼盘结构,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E8%AE%A9%E5%AD%90%E5%BC%B9%E9%A3%9E%20%E5%A7%9C%E6%96%87,https://movie.douban.com/subject_search?search_text=%E8%AE%A9%E5%AD%90%E5%BC%B9%E9%A3%9E%20%E5%A7%9C%E6%96%87,作者商业片代表
37,姜文,男,大陆,一步之遥,2014,剧情/喜剧/歌舞,20世纪20年代,上海/民国都市,不适用,双主角/群像,剧情简介显示为双主角、多线叙事、系列群像或拼盘结构,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E4%B8%80%E6%AD%A5%E4%B9%8B%E9%81%A5%20%E5%A7%9C%E6%96%87,https://movie.douban.com/subject_search?search_text=%E4%B8%80%E6%AD%A5%E4%B9%8B%E9%81%A5%20%E5%A7%9C%E6%96%87,民国奇观叙事代表
38,姜文,男,大陆,邪不压正,2018,剧情/喜剧/动作,1937年前后,北平,男性,第一番位为男性,公开主演表/剧情简介补判为男性第一主角,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E9%82%AA%E4%B8%8D%E5%8E%8B%E6%AD%A3%20%E5%A7%9C%E6%96%87,https://movie.douban.com/subject_search?search_text=%E9%82%AA%E4%B8%8D%E5%8E%8B%E6%AD%A3%20%E5%A7%9C%E6%96%87,民国动作作者片代表
39,贾樟柯,男,大陆,站台,2000,剧情/历史,1979-1990年代,山西汾阳及巡演地区,不适用,双主角/群像,剧情简介显示为双主角、多线叙事、系列群像或拼盘结构,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E7%AB%99%E5%8F%B0%20%E8%B4%BE%E6%A8%9F%E6%9F%AF,https://movie.douban.com/subject_search?search_text=%E7%AB%99%E5%8F%B0%20%E8%B4%BE%E6%A8%9F%E6%9F%AF,第六代导演转型中国经验代表
40,贾樟柯,男,大陆,任逍遥,2002,剧情,2001年前后,山西大同,男性,第一番位为男性,公开主演表/剧情简介补判为男性第一主角,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E4%BB%BB%E9%80%8D%E9%81%A5%20%E8%B4%BE%E6%A8%9F%E6%9F%AF,https://movie.douban.com/subject_search?search_text=%E4%BB%BB%E9%80%8D%E9%81%A5%20%E8%B4%BE%E6%A8%9F%E6%9F%AF,青年边缘生活题材代表
41,贾樟柯,男,大陆,世界,2004,剧情,当代,北京世界公园,不适用,双主角/群像,剧情简介显示为双主角、多线叙事、系列群像或拼盘结构,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E4%B8%96%E7%95%8C%20%E8%B4%BE%E6%A8%9F%E6%9F%AF,https://movie.douban.com/subject_search?search_text=%E4%B8%96%E7%95%8C%20%E8%B4%BE%E6%A8%9F%E6%9F%AF,全球化与城市空间代表
42,贾樟柯,男,大陆,三峡好人,2006,剧情,2000年代三峡移民时期,重庆奉节/三峡库区,男性,第一番位为男性,公开主演表/剧情简介补判为男性第一主角,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E4%B8%89%E5%B3%A1%E5%A5%BD%E4%BA%BA%20%E8%B4%BE%E6%A8%9F%E6%9F%AF,https://movie.douban.com/subject_search?search_text=%E4%B8%89%E5%B3%A1%E5%A5%BD%E4%BA%BA%20%E8%B4%BE%E6%A8%9F%E6%9F%AF,三峡移民与现实主义代表
43,贾樟柯,男,大陆,二十四城记,2008,剧情/纪录风格,1950s-2000s工业记忆,成都国营工厂/城市空间,不适用,双主角/群像,剧情简介显示为双主角、多线叙事、系列群像或拼盘结构,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E4%BA%8C%E5%8D%81%E5%9B%9B%E5%9F%8E%E8%AE%B0%20%E8%B4%BE%E6%A8%9F%E6%9F%AF,https://movie.douban.com/subject_search?search_text=%E4%BA%8C%E5%8D%81%E5%9B%9B%E5%9F%8E%E8%AE%B0%20%E8%B4%BE%E6%A8%9F%E6%9F%AF,工业记忆与纪录混合叙事代表
44,贾樟柯,男,大陆,天注定,2013,剧情/犯罪,当代,山西、重庆、广东等中国多地,不适用,双主角/群像,剧情简介显示为双主角、多线叙事、系列群像或拼盘结构,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E5%A4%A9%E6%B3%A8%E5%AE%9A%20%E8%B4%BE%E6%A8%9F%E6%9F%AF,https://movie.douban.com/subject_search?search_text=%E5%A4%A9%E6%B3%A8%E5%AE%9A%20%E8%B4%BE%E6%A8%9F%E6%9F%AF,社会暴力与现实议题代表
45,贾樟柯,男,大陆,山河故人,2015,剧情/家庭,1999、2014、2025三个时段,山西汾阳、上海、澳大利亚,不适用,双主角/群像,剧情简介显示为双主角、多线叙事、系列群像或拼盘结构,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E5%B1%B1%E6%B2%B3%E6%95%85%E4%BA%BA%20%E8%B4%BE%E6%A8%9F%E6%9F%AF,https://movie.douban.com/subject_search?search_text=%E5%B1%B1%E6%B2%B3%E6%95%85%E4%BA%BA%20%E8%B4%BE%E6%A8%9F%E6%9F%AF,跨年代社会变迁代表
46,贾樟柯,男,大陆,江湖儿女,2018,剧情/爱情/犯罪,2001-2018前后,山西、广州等中国多地,不适用,双主角/群像,剧情简介显示为双主角、多线叙事、系列群像或拼盘结构,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E6%B1%9F%E6%B9%96%E5%84%BF%E5%A5%B3%20%E8%B4%BE%E6%A8%9F%E6%9F%AF,https://movie.douban.com/subject_search?search_text=%E6%B1%9F%E6%B9%96%E5%84%BF%E5%A5%B3%20%E8%B4%BE%E6%A8%9F%E6%9F%AF,江湖与时代变迁代表
47,贾樟柯,男,大陆,风流一代,2024,剧情,2001-2020年代,中国多地/长期影像空间,不适用,双主角/群像,剧情简介显示为双主角、多线叙事、系列群像或拼盘结构,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E9%A3%8E%E6%B5%81%E4%B8%80%E4%BB%A3%20%E8%B4%BE%E6%A8%9F%E6%9F%AF,https://movie.douban.com/subject_search?search_text=%E9%A3%8E%E6%B5%81%E4%B8%80%E4%BB%A3%20%E8%B4%BE%E6%A8%9F%E6%9F%AF,长期影像素材与时代记忆代表
48,娄烨,男,大陆,苏州河,2000,剧情/爱情,1990年代,上海苏州河沿岸,女性,第一番位为女性,公开主演表/剧情简介补判为女性第一主角,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E8%8B%8F%E5%B7%9E%E6%B2%B3%20%E5%A8%84%E7%83%A8,https://movie.douban.com/subject_search?search_text=%E8%8B%8F%E5%B7%9E%E6%B2%B3%20%E5%A8%84%E7%83%A8,城市迷影与第六代代表
49,娄烨,男,大陆,紫蝴蝶,2003,剧情/历史/爱情,20世纪30年代,上海,女性,第一番位为女性,公开主演表/剧情简介补判为女性第一主角,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E7%B4%AB%E8%9D%B4%E8%9D%B6%20%E5%A8%84%E7%83%A8,https://movie.douban.com/subject_search?search_text=%E7%B4%AB%E8%9D%B4%E8%9D%B6%20%E5%A8%84%E7%83%A8,战争与都市历史题材代表
50,娄烨,男,大陆,颐和园,2006,剧情/爱情,1980s-2000s,北京、德国等,男性,第一番位为男性,公开主演表/剧情简介补判为男性第一主角,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E9%A2%90%E5%92%8C%E5%9B%AD%20%E5%A8%84%E7%83%A8,https://movie.douban.com/subject_search?search_text=%E9%A2%90%E5%92%8C%E5%9B%AD%20%E5%A8%84%E7%83%A8,青春政治记忆题材代表
